# CloudKit contract for the SwiftData models in CadenceStore.schema.
# Columns: CloudKit record type, field name, CloudKit type.
# CD_entityName is generated by SwiftData; relationship fields are included
# because SwiftData mirrors them on the child record.
CD_Assessment	CD_date	TIMESTAMP
CD_Assessment	CD_entityName	STRING
CD_Assessment	CD_exerciseName	STRING
CD_Assessment	CD_id	STRING
CD_Assessment	CD_inputAge	INT64
CD_Assessment	CD_inputDistance	DOUBLE
CD_Assessment	CD_inputEndingHR	DOUBLE
CD_Assessment	CD_inputReps	INT64
CD_Assessment	CD_inputSex	INT64
CD_Assessment	CD_inputTime	DOUBLE
CD_Assessment	CD_inputWeight	DOUBLE
CD_Assessment	CD_kind	STRING
CD_Assessment	CD_notes	STRING
CD_Assessment	CD_originDevice	STRING
CD_Assessment	CD_protocolName	STRING
CD_Assessment	CD_updatedAt	TIMESTAMP
CD_Assessment	CD_value	DOUBLE
CD_CardioWorkout	CD_activeEnergy	DOUBLE
CD_CardioWorkout	CD_avgHeartRate	DOUBLE
CD_CardioWorkout	CD_customTitle	STRING
CD_CardioWorkout	CD_deletedAt	TIMESTAMP
CD_CardioWorkout	CD_distance	DOUBLE
CD_CardioWorkout	CD_end	TIMESTAMP
CD_CardioWorkout	CD_entityName	STRING
CD_CardioWorkout	CD_healthKitWorkoutUUID	STRING
CD_CardioWorkout	CD_id	STRING
CD_CardioWorkout	CD_importedWorkoutKindRaw	STRING
CD_CardioWorkout	CD_intervalDetailData	STRING
CD_CardioWorkout	CD_isLogged	INT64
CD_CardioWorkout	CD_laps	INT64
CD_CardioWorkout	CD_maxHeartRate	DOUBLE
CD_CardioWorkout	CD_notes	STRING
CD_CardioWorkout	CD_originDevice	STRING
CD_CardioWorkout	CD_source	STRING
CD_CardioWorkout	CD_start	TIMESTAMP
CD_CardioWorkout	CD_targetDistance	DOUBLE
CD_CardioWorkout	CD_targetLaps	INT64
CD_CardioWorkout	CD_type	STRING
CD_CardioWorkout	CD_updatedAt	TIMESTAMP
CD_Exercise	CD_annotationConfidence	STRING
CD_Exercise	CD_category	STRING
CD_Exercise	CD_createdAt	TIMESTAMP
CD_Exercise	CD_defaultBarWeightKg	DOUBLE
CD_Exercise	CD_directMusclesData	STRING
CD_Exercise	CD_entityName	STRING
CD_Exercise	CD_equipment	STRING
CD_Exercise	CD_force	STRING
CD_Exercise	CD_id	STRING
CD_Exercise	CD_imageName	STRING
CD_Exercise	CD_indirectMusclesData	STRING
CD_Exercise	CD_instructionsData	STRING
CD_Exercise	CD_isCustom	INT64
CD_Exercise	CD_isFavorite	INT64
CD_Exercise	CD_isLateral	INT64
CD_Exercise	CD_level	STRING
CD_Exercise	CD_loadAccountingMode	STRING
CD_Exercise	CD_loadAccountingUserOverride	INT64
CD_Exercise	CD_mechanics	STRING
CD_Exercise	CD_modalitiesData	STRING
CD_Exercise	CD_movementPatternIDsData	STRING
CD_Exercise	CD_muscleGroupsData	STRING
CD_Exercise	CD_name	STRING
CD_Exercise	CD_originDevice	STRING
CD_Exercise	CD_primaryMusclesData	STRING
CD_Exercise	CD_searchKeywordsData	STRING
CD_Exercise	CD_secondaryMusclesData	STRING
CD_Exercise	CD_sourceExerciseID	STRING
CD_Exercise	CD_sportContextsData	STRING
CD_Exercise	CD_stabilizerMusclesData	STRING
CD_Exercise	CD_trainingTypesData	STRING
CD_Exercise	CD_updatedAt	TIMESTAMP
CD_Exercise	CD_volumeEligible	INT64
CD_HRMDevice	CD_entityName	STRING
CD_HRMDevice	CD_id	STRING
CD_HRMDevice	CD_isDefault	INT64
CD_HRMDevice	CD_lastBattery	INT64
CD_HRMDevice	CD_lastConnectedAt	TIMESTAMP
CD_HRMDevice	CD_name	STRING
CD_HRMDevice	CD_updatedAt	TIMESTAMP
CD_HRSample	CD_bpm	DOUBLE
CD_HRSample	CD_cardio	STRING
CD_HRSample	CD_entityName	STRING
CD_HRSample	CD_id	STRING
CD_HRSample	CD_t	DOUBLE
CD_PersistedClientRelationship	CD_createdAt	TIMESTAMP
CD_PersistedClientRelationship	CD_displayName	STRING
CD_PersistedClientRelationship	CD_entityName	STRING
CD_PersistedClientRelationship	CD_goalRaw	STRING
CD_PersistedClientRelationship	CD_id	STRING
CD_PersistedClientRelationship	CD_notes	STRING
CD_PersistedClientRelationship	CD_shareURLString	STRING
CD_PersistedClientRelationship	CD_shareZoneID	STRING
CD_PersistedClientRelationship	CD_statusRaw	STRING
CD_PersistedClientRelationship	CD_updatedAt	TIMESTAMP
CD_PersistedPlan	CD_deletedAt	TIMESTAMP
CD_PersistedPlan	CD_entityName	STRING
CD_PersistedPlan	CD_id	STRING
CD_PersistedPlan	CD_originDevice	STRING
CD_PersistedPlan	CD_payloadVersion	INT64
CD_PersistedPlan	CD_planData	BYTES
CD_PersistedPlan	CD_updatedAt	TIMESTAMP
CD_PersistedPlanDay	CD_entityName	STRING
CD_PersistedPlanDay	CD_id	STRING
CD_PersistedPlanDay	CD_weekID	STRING
CD_PersistedPlanDay	CD_weekdayRaw	INT64
CD_PersistedPlanHeader	CD_authoredOnIdiomRaw	STRING
CD_PersistedPlanHeader	CD_createdAt	TIMESTAMP
CD_PersistedPlanHeader	CD_entityName	STRING
CD_PersistedPlanHeader	CD_goalRaw	STRING
CD_PersistedPlanHeader	CD_horizonData	BYTES
CD_PersistedPlanHeader	CD_id	STRING
CD_PersistedPlanHeader	CD_notes	STRING
CD_PersistedPlanHeader	CD_originDevice	STRING
CD_PersistedPlanHeader	CD_provenanceData	BYTES
CD_PersistedPlanHeader	CD_rationaleData	BYTES
CD_PersistedPlanHeader	CD_statusRaw	STRING
CD_PersistedPlanHeader	CD_title	STRING
CD_PersistedPlanHeader	CD_updatedAt	TIMESTAMP
CD_PersistedPlanItem	CD_entityName	STRING
CD_PersistedPlanItem	CD_id	STRING
CD_PersistedPlanItem	CD_kindRaw	STRING
CD_PersistedPlanItem	CD_order	INT64
CD_PersistedPlanItem	CD_payloadData	BYTES
CD_PersistedPlanItem	CD_sessionID	STRING
CD_PersistedPlanSession	CD_completedAt	TIMESTAMP
CD_PersistedPlanSession	CD_dayID	STRING
CD_PersistedPlanSession	CD_entityName	STRING
CD_PersistedPlanSession	CD_estimatedDurationMinutes	INT64
CD_PersistedPlanSession	CD_goalRaw	STRING
CD_PersistedPlanSession	CD_id	STRING
CD_PersistedPlanSession	CD_note	STRING
CD_PersistedPlanSession	CD_painData	BYTES
CD_PersistedPlanSession	CD_partnersData	BYTES
CD_PersistedPlanSession	CD_sessionRPE	DOUBLE
CD_PersistedPlanSession	CD_startedAt	TIMESTAMP
CD_PersistedPlanSession	CD_statusRaw	STRING
CD_PersistedPlanSession	CD_title	STRING
CD_PersistedPlanSet	CD_entityName	STRING
CD_PersistedPlanSet	CD_id	STRING
CD_PersistedPlanSet	CD_itemID	STRING
CD_PersistedPlanSet	CD_payloadData	BYTES
CD_PersistedPlanSet	CD_setIndex	INT64
CD_PersistedPlanWeek	CD_entityName	STRING
CD_PersistedPlanWeek	CD_id	STRING
CD_PersistedPlanWeek	CD_index	INT64
CD_PersistedPlanWeek	CD_intendedProgressionRaw	STRING
CD_PersistedPlanWeek	CD_isDeload	INT64
CD_PersistedPlanWeek	CD_planID	STRING
CD_Person	CD_createdAt	TIMESTAMP
CD_Person	CD_entityName	STRING
CD_Person	CD_id	STRING
CD_Person	CD_isMe	INT64
CD_Person	CD_name	STRING
CD_Person	CD_originDevice	STRING
CD_Person	CD_updatedAt	TIMESTAMP
CD_ReadinessEntry	CD_date	TIMESTAMP
CD_ReadinessEntry	CD_entityName	STRING
CD_ReadinessEntry	CD_fatigueEnergy	INT64
CD_ReadinessEntry	CD_hasPainOrIllnessConcern	INT64
CD_ReadinessEntry	CD_id	STRING
CD_ReadinessEntry	CD_muscleSoreness	INT64
CD_ReadinessEntry	CD_sleepQuality	INT64
CD_ReadinessEntry	CD_stressMood	INT64
CD_ReadinessEntry	CD_updatedAt	TIMESTAMP
CD_RouteSample	CD_cardio	STRING
CD_RouteSample	CD_elevation	DOUBLE
CD_RouteSample	CD_entityName	STRING
CD_RouteSample	CD_id	STRING
CD_RouteSample	CD_lat	DOUBLE
CD_RouteSample	CD_lon	DOUBLE
CD_RouteSample	CD_t	DOUBLE
CD_SessionTemplate	CD_createdAt	TIMESTAMP
CD_SessionTemplate	CD_entityName	STRING
CD_SessionTemplate	CD_id	STRING
CD_SessionTemplate	CD_name	STRING
CD_SessionTemplate	CD_originDevice	STRING
CD_SessionTemplate	CD_updatedAt	TIMESTAMP
CD_SetEntry	CD_barWeightKg	DOUBLE
CD_SetEntry	CD_completedAt	TIMESTAMP
CD_SetEntry	CD_entityName	STRING
CD_SetEntry	CD_exercise	STRING
CD_SetEntry	CD_id	STRING
CD_SetEntry	CD_isWarmup	INT64
CD_SetEntry	CD_loadAccountingMode	STRING
CD_SetEntry	CD_loadMultiplier	DOUBLE
CD_SetEntry	CD_note	STRING
